num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2025S000100;01/01/2025;14:30:00;CALL. FRANCISCO VILLAESPESA / CALL. LAGO CONSTANZA;69;15;CIUDAD LINEAL;Colisión lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Mujer;14;Sin asistencia sanitaria;445215;4475591;N;
2025S000100;01/01/2025;14:30:00;CALL. FRANCISCO VILLAESPESA / CALL. LAGO CONSTANZA;69;15;CIUDAD LINEAL;Colisión lateral;Despejado;Turismo;Pasajero;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;445215;4475591;N;
2025S000100;01/01/2025;14:30:00;CALL. FRANCISCO VILLAESPESA / CALL. LAGO CONSTANZA;69;15;CIUDAD LINEAL;Colisión lateral;Despejado;Turismo;Pasajero;De 60 a 64 años;Hombre;14;Sin asistencia sanitaria;445215;4475591;N;
2025S000100;01/01/2025;14:30:00;CALL. FRANCISCO VILLAESPESA / CALL. LAGO CONSTANZA;69;15;CIUDAD LINEAL;Colisión lateral;Despejado;Turismo;Pasajero;Más de 74 años;Mujer;14;Sin asistencia sanitaria;445215;4475591;N;
2025S000101;01/01/2025;19:35:00;CALL. VALLE DE MENA / CALL. CANDIDO MATEOS;2;8;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Turismo;Conductor;De 21 a 24 años;Hombre;;;439059;4480288;N;
2025S000101;01/01/2025;19:35:00;CALL. VALLE DE MENA / CALL. CANDIDO MATEOS;2;8;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;;;439059;4480288;N;
2025S000101;01/01/2025;19:35:00;CALL. VALLE DE MENA / CALL. CANDIDO MATEOS;2;8;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Turismo;Pasajero;De 35 a 39 años;Mujer;;;439059;4480288;N;
2025S000101;01/01/2025;19:35:00;CALL. VALLE DE MENA / CALL. CANDIDO MATEOS;2;8;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Turismo;Pasajero;Menor de 5 años;Mujer;;;439059;4480288;N;
2025S000102;01/01/2025;19:50:00;CALL. SAMANIEGO / CALL. ARRASTARIA;3;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Motocicleta > 125cc;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;450387;4477438;N;
2025S000102;01/01/2025;19:50:00;CALL. SAMANIEGO / CALL. ARRASTARIA;3;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;450387;4477438;N;
2025S000102;01/01/2025;19:50:00;CALL. SAMANIEGO / CALL. ARRASTARIA;3;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 15 a 17 años;Mujer;14;Sin asistencia sanitaria;450387;4477438;N;
2025S000102;01/01/2025;19:50:00;CALL. SAMANIEGO / CALL. ARRASTARIA;3;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 50 a 54 años;Mujer;14;Sin asistencia sanitaria;450387;4477438;N;
2025S000103;01/01/2025;20:20:00;CALL. PUERTO ALTO / CALL. SIERRA DEL CASTILLO;35;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;;;443283;4471608;N;
2025S000103;01/01/2025;20:20:00;CALL. PUERTO ALTO / CALL. SIERRA DEL CASTILLO;35;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;443283;4471608;N;
2025S000104;01/01/2025;20:00:00;AVDA. CANILLEJAS A VICALVARO / CALL. ALBAIDA;69;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Todo terreno;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;448086;4476110;N;
2025S000104;01/01/2025;20:00:00;AVDA. CANILLEJAS A VICALVARO / CALL. ALBAIDA;69;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Todo terreno;Pasajero;De 35 a 39 años;Mujer;14;Sin asistencia sanitaria;448086;4476110;N;
2025S000104;01/01/2025;20:00:00;AVDA. CANILLEJAS A VICALVARO / CALL. ALBAIDA;69;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Mujer;14;Sin asistencia sanitaria;448086;4476110;N;
2025S000104;01/01/2025;20:00:00;AVDA. CANILLEJAS A VICALVARO / CALL. ALBAIDA;69;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;Más de 74 años;Mujer;1;Atención en urgencias sin posterior ingreso;448086;4476110;N;
2025S000105;01/01/2025;20:11:00;CALL. PAUL GUINARD, 3;3;9;MONCLOA-ARAVACA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 45 a 49 años;Mujer;14;Sin asistencia sanitaria;438089;4477031;N;
2025S000105;01/01/2025;20:11:00;CALL. PAUL GUINARD, 3;3;9;MONCLOA-ARAVACA;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;Más de 74 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;438089;4477031;N;
2025S000106;01/01/2025;20:50:00;AVDA. VALLADOLID, 7;7;9;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Conductor;De 45 a 49 años;Mujer;14;Sin asistencia sanitaria;438329;4475310;N;
2025S000106;01/01/2025;20:50:00;AVDA. VALLADOLID, 7;7;9;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;14;Sin asistencia sanitaria;438329;4475310;N;
2025S000106;01/01/2025;20:50:00;AVDA. VALLADOLID, 7;7;9;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Pasajero;De 10 a 14 años;Mujer;14;Sin asistencia sanitaria;438329;4475310;N;
2025S000106;01/01/2025;20:50:00;AVDA. VALLADOLID, 7;7;9;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Pasajero;De 15 a 17 años;Mujer;14;Sin asistencia sanitaria;438329;4475310;N;
2025S000106;01/01/2025;20:50:00;AVDA. VALLADOLID, 7;7;9;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Pasajero;De 65 a 69 años;Hombre;14;Sin asistencia sanitaria;438329;4475310;N;
2025S000107;01/01/2025;20:15:00;AVDA. MARQUES DE CORBERA / CALL. ALCALDE SAINZ DE BARANDA;1;15;CIUDAD LINEAL;Alcance;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;14;Sin asistencia sanitaria;444063;4474740;N;
2025S000107;01/01/2025;20:15:00;AVDA. MARQUES DE CORBERA / CALL. ALCALDE SAINZ DE BARANDA;1;15;CIUDAD LINEAL;Alcance;Despejado;VMU eléctrico;Conductor;De 45 a 49 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;444063;4474740;N;
2025S000108;01/01/2025;21:45:00;RONDA. VALENCIA, 4;4;1;CENTRO;Colisión fronto-lateral;;Autobús;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;440600;4473022;N;
2025S000108;01/01/2025;21:45:00;RONDA. VALENCIA, 4;4;1;CENTRO;Colisión fronto-lateral;;Turismo;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;440600;4473022;N;
2025S000109;01/01/2025;20:30:00;CALL. PONZANO / CALL. RIOS ROSAS;65;7;CHAMBERÍ;Alcance;;Turismo;Conductor;De 40 a 44 años;Hombre;;;440717;4477078;N;
2025S000109;01/01/2025;20:30:00;CALL. PONZANO / CALL. RIOS ROSAS;65;7;CHAMBERÍ;Alcance;;Turismo;Conductor;De 50 a 54 años;Hombre;;;440717;4477078;S;
2025S000109;01/01/2025;20:30:00;CALL. PONZANO / CALL. RIOS ROSAS;65;7;CHAMBERÍ;Alcance;;Turismo;Pasajero;De 30 a 34 años;Mujer;;;440717;4477078;N;
2025S000110;01/01/2025;22:08:00;CALL. MENDEZ ALVARO / AVDA. ENTREVIAS;84;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 50 a 54 años;Hombre;1;Atención en urgencias sin posterior ingreso;442678;4471458;N;
2025S000110;01/01/2025;22:08:00;CALL. MENDEZ ALVARO / AVDA. ENTREVIAS;84;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;442678;4471458;N;
2025S000111;01/01/2025;23:20:00;AUTOV. M-23 / AUTOV. M-40;0;14;MORATALAZ;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;;;447727;4474083;N;
2025S000112;01/01/2025;23:39:00;CALL. PINTOR EL GRECO / CALL. MARTIN FIERRO;1;9;MONCLOA-ARAVACA;Caída;Despejado;Ciclomotor;Conductor;De 18 a 20 años;Hombre;1;Atención en urgencias sin posterior ingreso;437840;4476711;N;
2025S000115;01/01/2025;23:35:00;CALL. ALEJANDRO MORAN, 5;5;11;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;437769;4470951;N;
2025S000115;01/01/2025;23:35:00;CALL. ALEJANDRO MORAN, 5;5;11;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;437769;4470951;N;
2025S000115;01/01/2025;23:35:00;CALL. ALEJANDRO MORAN, 5;5;11;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;437769;4470951;N;
2025S000207;01/01/2025;13:20:00;CALL. SERRALLO / CALL. BERRUGUETE;1;6;TETUÁN;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;440227;4479010;N;
2025S000216;01/01/2025;12:30:00;CALL. AYERBE / CALL. PARROCO MAXIMO MARTINEZ DE CASTRO;2;21;BARAJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;;;450832;4479940;N;
2025S000216;01/01/2025;12:30:00;CALL. AYERBE / CALL. PARROCO MAXIMO MARTINEZ DE CASTRO;2;21;BARAJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;;;450832;4479940;N;
2025S000161;02/01/2025;4:55:00;CALL. MARTINEZ VILLERGAS / CALL. VERDAGUER Y GARCIA;18;15;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;444585;4476880;N;
2025S000161;02/01/2025;4:55:00;CALL. MARTINEZ VILLERGAS / CALL. VERDAGUER Y GARCIA;18;15;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;444585;4476880;N;
2025S000164;02/01/2025;6:45:00;CALL. SAN JAIME / CALL. SIERRA DE GUADALUPE;66;18;VILLA DE VALLECAS;Caída;Despejado;Motocicleta hasta 125cc;Conductor;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;447014;4470279;N;
2025S000165;02/01/2025;7:16:00;AVDA. MENENDEZ PELAYO / AVDA. NAZARET;67;3;RETIRO;Caída;Despejado;Motocicleta > 125cc;Conductor;De 45 a 49 años;Hombre;2;Ingreso inferior o igual a 24 horas;442629;4473641;N;
2025S000197;02/01/2025;7:40:00;AUTOV. A-4, +00600E;+00600E;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Furgoneta;Conductor;De 25 a 29 años;Hombre;;;441964;4469781;N;
2025S000197;02/01/2025;7:40:00;AUTOV. A-4, +00600E;+00600E;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;;;441964;4469781;N;
2025S000197;02/01/2025;7:40:00;AUTOV. A-4, +00600E;+00600E;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 65 a 69 años;Hombre;;;441964;4469781;N;
2025S000202;02/01/2025;9:30:00;AVDA. ALBUFERA / CALL. SIERRA DE JAVALAMBRE;11;13;PUENTE DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443329;4472101;N;
2025S000202;02/01/2025;9:30:00;AVDA. ALBUFERA / CALL. SIERRA DE JAVALAMBRE;11;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;443329;4472101;S;
2025S000202;02/01/2025;9:30:00;AVDA. ALBUFERA / CALL. SIERRA DE JAVALAMBRE;11;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Pasajero;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;443329;4472101;N;
2025S000202;02/01/2025;9:30:00;AVDA. ALBUFERA / CALL. SIERRA DE JAVALAMBRE;11;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Pasajero;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;443329;4472101;N;
2025S000202;02/01/2025;9:30:00;AVDA. ALBUFERA / CALL. SIERRA DE JAVALAMBRE;11;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Pasajero;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;443329;4472101;N;
2025S000203;02/01/2025;11:30:00;CALL. EDGAR NEVILLE / CALL. BASILICA;23;6;TETUÁN;Colisión lateral;Despejado;Furgoneta;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;440911;4477860;N;
2025S000203;02/01/2025;11:30:00;CALL. EDGAR NEVILLE / CALL. BASILICA;23;6;TETUÁN;Colisión lateral;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;440911;4477860;N;
2025S000206;02/01/2025;10:35:00;AVDA. CIUDAD DE BARCELONA / CALL. DOCTOR ESQUERDO;190;3;RETIRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 50 a 54 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;442746;4472502;N;
2025S000208;02/01/2025;11:16:00;CALL. GUETARIA / CALL. ALZOLA;90;12;USERA;Choque contra obstáculo fijo;Despejado;Maquinaria de obras;Conductor;De 50 a 54 años;Hombre;;;439239;4468858;N;
2025S000209;02/01/2025;11:10:00;CALL. GONZALO LOPEZ, 3;3;11;CARABANCHEL;Colisión lateral;;Turismo;Conductor;De 60 a 64 años;Hombre;;;438048;4470874;N;
